battery_type,battery_id,battery_formula,working_ion,elements,nelements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,id_charge,id_discharge,energy_density,working_ion_cost_per_kWh,battery_volume_cost
insertion,mp-18536_Li,Li0-1AgF3,Li,"['Ag', 'F']",2,AgF3,LiAgF3,0.078737166489472,5.10388711499999,155.999960698121,686.263450820069,796.206189347646,3502.61118413598,0.0,0.056291898999999,mp-bbky,mp-brgmp,0.22731789156439067,10.0,2.2731789156439066
insertion,mp-18687_Li,Li0-1NbF5,Li,"['Nb', 'F']",2,NbF5,LiNbF5,0.00302234305141,2.27521710333333,137.556786233128,449.934534362709,312.971552717181,1023.69874796235,0.0,0.088132340761904,mp-bbqt,mp-brhzo,0.30572622398937344,10.0,3.0572622398937344
insertion,mp-18767_Li,Li0-1MnO2,Li,"['Mn', 'O']",2,MnO2,LiMnO2,0.126617653203243,3.66503687333333,285.493144259584,1147.84958901852,1046.34290079524,4206.9110687934,0.168055925833334,0.015280234999999,mp-bdbno,mp-bbtv,0.24871999519004728,10.0,2.4871999519004726
insertion,mp-18782_Li,Li0-1FeO2,Li,"['Fe', 'O']",2,FeO2,LiFeO2,0.077727118065087,3.93259078333333,282.761383105349,1196.56287110121,1111.98480908268,4705.59211857149,0.167153275833333,0.020221913124999,mp-blmi,mp-bbuk,0.23631134638593673,10.0,2.363113463859367
insertion,mp-18793_Li,Li0-1CrO2,Li,"['Cr', 'O']",2,CrO2,LiCrO2,0.063528921598051,4.04506663333333,294.729376905753,1208.68842209059,1192.19996838458,4889.22520629496,0.18456060166665,0.0,mp-borph,mp-bbuv,0.24384230999414944,10.0,2.4384230999414944
insertion,mp-18896_Li,Li0-3V6O13,Li,"['V', 'O']",2,V6O13,Li3V6O13,0.06827861343896,2.58763888333333,150.439343619444,544.675312981143,389.28269513282,1409.42301866176,0.016361282368421,0.083812208181816,mp-bxnli,mp-bewtt,0.2762000407105881,10.0,2.762000407105881
insertion,mp-18925_Li,Li4-6CoO4,Li,"['Co', 'O']",2,Li4CoO4,Li6CoO4,0.040195945663066,2.67142673958333,325.701823824724,871.509842609451,870.088561296429,2328.17469735695,0.095945292777773,0.0,mp-bsdyi,mp-bbzx,0.3737213372708637,10.0,3.737213372708637
insertion,mp-18934_Li,Li0-1V2O5,Li,"['V', 'O']",2,V2O5,LiV2O5,0.014693703264145,3.20371603333332,141.941209639626,437.441977309452,454.739329113197,1401.43987635932,0.0,0.050882116875001,mp-blkh,mp-bfqhp,0.32448008422203845,10.0,3.2448008422203847
insertion,mp-18988_Li,Li1.62-2MnO3,Li,"['Mn', 'O']",2,Li13Mn8O24,Li2MnO3,0.007939111916712,4.66670254,86.0358365211826,320.595744572389,401.503656824427,1496.12497550916,0.064241670933332,0.0,mp-breis,mp-bcci,0.268362378408788,10.0,2.6836237840878803
insertion,mp-19013_Li,Li0-1V2O5,Li,"['V', 'O']",2,V2O5,LiV2O5,0.073078872187342,3.20533303833333,141.941209639626,423.523066508595,454.968848758892,1357.53247757624,0.011343075,0.060605181875001,mp-blin,mp-bcdh,0.3351439882832107,10.0,3.351439882832107
